num_topics,coherence,silhouette,num_tokens,ngram_range,min_topic_size,n_neighbors,n_components
7,0.5073195651852355,0.012280423,7,"(1, 1)",13,8,6
9,0.5064676205527103,-0.005777004,7,"(1, 1)",13,12,2
7,0.42984313217944087,0.0013178382,7,"(1, 1)",13,12,6
3,0.41253980575225774,-0.0012038556,7,"(1, 1)",13,16,2
8,0.4656899350207002,-0.0005107684,7,"(1, 1)",13,16,6
3,0.3992117096083428,0.021037186,7,"(1, 1)",15,4,2
3,0.2470912607256515,0.02581427,7,"(1, 1)",15,4,6
8,0.48418129979753666,-0.0076856683,7,"(1, 1)",15,8,2
7,0.5022481282513207,0.009155374,7,"(1, 1)",15,8,6
9,0.5155835588376202,-0.0059529874,7,"(1, 1)",15,12,2
6,0.4661497584658007,0.00857806,7,"(1, 1)",15,12,6
3,0.40735756451823396,-0.0033666624,7,"(1, 1)",15,16,2
7,0.4244421153474841,-0.003709354,7,"(1, 1)",15,16,6
3,0.4065322431498252,0.022030437,7,"(1, 1)",18,4,2
3,0.40348162180668856,0.02055105,7,"(1, 1)",18,4,6
4,0.4761393414745529,-0.003371009,7,"(1, 1)",18,8,2
7,0.5033446285627104,0.0015153566,7,"(1, 1)",18,8,6
4,0.5349216897268161,0.0023460777,7,"(1, 1)",18,12,2
6,0.45799761771802316,0.007490045,7,"(1, 1)",18,12,6
9,0.47893916826322935,-0.01712232,7,"(1, 1)",18,16,2
7,0.48548339978207256,0.0030797594,7,"(1, 1)",18,16,6
3,0.3750502591473642,0.020821553,7,"(1, 1)",20,4,2
3,0.3796511720342734,0.021509511,7,"(1, 1)",20,4,6
4,0.4822148273881695,-0.0060834484,7,"(1, 1)",20,8,2
7,0.5123417786886255,0.0011402006,7,"(1, 1)",20,8,6
6,0.4322178283243501,-0.009793756,7,"(1, 1)",20,12,2
5,0.45288989837520555,0.008853009,7,"(1, 1)",20,12,6
4,0.42464445668364503,-0.0055201706,7,"(1, 1)",20,16,2
7,0.5118395284014662,-0.005004504,7,"(1, 1)",20,16,6
3,0.4019981660909,0.018590618,7,"(1, 2)",10,4,2
3,0.42010544064186045,0.02581427,7,"(1, 2)",10,4,6
10,0.6197489321516285,-0.0036472967,7,"(1, 2)",10,8,2
7,0.5894580772214281,0.014758352,7,"(1, 2)",10,8,6
10,0.6143445434039927,-0.0002697,7,"(1, 2)",10,12,2
7,0.5878770620685472,0.009391793,7,"(1, 2)",10,12,6
9,0.6175051490460566,0.00085392065,7,"(1, 2)",10,16,2
10,0.5907761667959066,0.00697655,7,"(1, 2)",10,16,6
5,0.5951677073738273,-0.0021187298,7,"(1, 2)",13,4,2
3,0.42010544064186045,0.02581427,7,"(1, 2)",13,4,6
6,0.6124458834027067,-0.0024713536,7,"(1, 2)",13,8,2
7,0.6145129990228962,0.012280423,7,"(1, 2)",13,8,6
9,0.6040033982171544,-0.005777004,7,"(1, 2)",13,12,2
7,0.5926610355314929,0.0013178382,7,"(1, 2)",13,12,6
3,0.6379454647240649,-0.0012038556,7,"(1, 2)",13,16,2
8,0.6037821502953321,-0.0005107684,7,"(1, 2)",13,16,6
3,0.5775801671399791,0.021037186,7,"(1, 2)",15,4,2
3,0.42010544064186045,0.02581427,7,"(1, 2)",15,4,6
8,0.6212051413088144,-0.0076856683,7,"(1, 2)",15,8,2
7,0.6288151916661142,0.009155374,7,"(1, 2)",15,8,6
9,0.6437705821686651,-0.0059529874,7,"(1, 2)",15,12,2
6,0.6306983397261864,0.00857806,7,"(1, 2)",15,12,6
3,0.6359051788130633,-0.0033666624,7,"(1, 2)",15,16,2
7,0.5865773690619677,-0.003709354,7,"(1, 2)",15,16,6
3,0.585379598863017,0.022030437,7,"(1, 2)",18,4,2
3,0.5939339297893361,0.02055105,7,"(1, 2)",18,4,6
4,0.6213685847252712,-0.003371009,7,"(1, 2)",18,8,2
7,0.6269763841015392,0.0015153566,7,"(1, 2)",18,8,6
4,0.6445269298049517,0.0023460777,7,"(1, 2)",18,12,2
6,0.6287177275020678,0.007490045,7,"(1, 2)",18,12,6
9,0.627532277090309,-0.01712232,7,"(1, 2)",18,16,2
7,0.6254717139190878,0.0030797594,7,"(1, 2)",18,16,6
3,0.6020064393165859,0.020821553,7,"(1, 2)",20,4,2
3,0.5576510956121004,0.021509511,7,"(1, 2)",20,4,6
4,0.6314706727364096,-0.0060834484,7,"(1, 2)",20,8,2
7,0.6262369313492014,0.0011402006,7,"(1, 2)",20,8,6
6,0.5846845712875651,-0.009793756,7,"(1, 2)",20,12,2
5,0.6125870910417606,0.008853009,7,"(1, 2)",20,12,6
4,0.6064572061778029,-0.0055201706,7,"(1, 2)",20,16,2
7,0.6699357660568702,-0.005004504,7,"(1, 2)",20,16,6
3,0.31937512387319356,0.018590618,8,"(1, 1)",10,4,2
3,0.2470912607256515,0.02581427,8,"(1, 1)",10,4,6
10,0.4895967395465872,-0.0036472967,8,"(1, 1)",10,8,2
7,0.4693037309585054,0.014758352,8,"(1, 1)",10,8,6
10,0.515923358092518,-0.0002697,8,"(1, 1)",10,12,2
7,0.4557821450075121,0.009391793,8,"(1, 1)",10,12,6
9,0.4795207211485676,0.00085392065,8,"(1, 1)",10,16,2
10,0.46913552245932244,0.00697655,8,"(1, 1)",10,16,6
5,0.4502418240591101,-0.0021187298,8,"(1, 1)",13,4,2
3,0.2470912607256515,0.02581427,8,"(1, 1)",13,4,6
6,0.47584517493892103,-0.0024713536,8,"(1, 1)",13,8,2
7,0.5073195651852355,0.012280423,8,"(1, 1)",13,8,6
9,0.5064676205527103,-0.005777004,8,"(1, 1)",13,12,2
7,0.42984313217944087,0.0013178382,8,"(1, 1)",13,12,6
3,0.41253980575225774,-0.0012038556,8,"(1, 1)",13,16,2
8,0.4656899350207002,-0.0005107684,8,"(1, 1)",13,16,6
3,0.3992117096083428,0.021037186,8,"(1, 1)",15,4,2
3,0.2470912607256515,0.02581427,8,"(1, 1)",15,4,6
8,0.48418129979753666,-0.0076856683,8,"(1, 1)",15,8,2
7,0.5022481282513207,0.009155374,8,"(1, 1)",15,8,6
9,0.5155835588376202,-0.0059529874,8,"(1, 1)",15,12,2
6,0.4661497584658007,0.00857806,8,"(1, 1)",15,12,6
3,0.40735756451823396,-0.0033666624,8,"(1, 1)",15,16,2
7,0.4244421153474841,-0.003709354,8,"(1, 1)",15,16,6
3,0.4065322431498252,0.022030437,8,"(1, 1)",18,4,2
3,0.40348162180668856,0.02055105,8,"(1, 1)",18,4,6
4,0.4761393414745529,-0.003371009,8,"(1, 1)",18,8,2
7,0.5033446285627104,0.0015153566,8,"(1, 1)",18,8,6
4,0.5349216897268161,0.0023460777,8,"(1, 1)",18,12,2
6,0.45799761771802316,0.007490045,8,"(1, 1)",18,12,6
9,0.47893916826322935,-0.01712232,8,"(1, 1)",18,16,2
7,0.48548339978207256,0.0030797594,8,"(1, 1)",18,16,6
3,0.3750502591473642,0.020821553,8,"(1, 1)",20,4,2
3,0.3796511720342734,0.021509511,8,"(1, 1)",20,4,6
4,0.4822148273881695,-0.0060834484,8,"(1, 1)",20,8,2
7,0.5123417786886255,0.0011402006,8,"(1, 1)",20,8,6
6,0.4322178283243501,-0.009793756,8,"(1, 1)",20,12,2
5,0.45288989837520555,0.008853009,8,"(1, 1)",20,12,6
4,0.42464445668364503,-0.0055201706,8,"(1, 1)",20,16,2
7,0.5118395284014662,-0.005004504,8,"(1, 1)",20,16,6
3,0.4019981660909,0.018590618,8,"(1, 2)",10,4,2
3,0.42010544064186045,0.02581427,8,"(1, 2)",10,4,6
10,0.6197489321516285,-0.0036472967,8,"(1, 2)",10,8,2
7,0.5894580772214281,0.014758352,8,"(1, 2)",10,8,6
10,0.6143445434039927,-0.0002697,8,"(1, 2)",10,12,2
7,0.5878770620685472,0.009391793,8,"(1, 2)",10,12,6
9,0.6175051490460566,0.00085392065,8,"(1, 2)",10,16,2
10,0.5907761667959066,0.00697655,8,"(1, 2)",10,16,6
5,0.5951677073738273,-0.0021187298,8,"(1, 2)",13,4,2
3,0.42010544064186045,0.02581427,8,"(1, 2)",13,4,6
6,0.6124458834027067,-0.0024713536,8,"(1, 2)",13,8,2
7,0.6145129990228962,0.012280423,8,"(1, 2)",13,8,6
9,0.6040033982171544,-0.005777004,8,"(1, 2)",13,12,2
7,0.5926610355314929,0.0013178382,8,"(1, 2)",13,12,6
3,0.6379454647240649,-0.0012038556,8,"(1, 2)",13,16,2
8,0.6037821502953321,-0.0005107684,8,"(1, 2)",13,16,6
3,0.5775801671399791,0.021037186,8,"(1, 2)",15,4,2
3,0.42010544064186045,0.02581427,8,"(1, 2)",15,4,6
8,0.6212051413088144,-0.0076856683,8,"(1, 2)",15,8,2
7,0.6288151916661142,0.009155374,8,"(1, 2)",15,8,6
9,0.6437705821686651,-0.0059529874,8,"(1, 2)",15,12,2
6,0.6306983397261864,0.00857806,8,"(1, 2)",15,12,6
3,0.6359051788130633,-0.0033666624,8,"(1, 2)",15,16,2
7,0.5865773690619677,-0.003709354,8,"(1, 2)",15,16,6
3,0.585379598863017,0.022030437,8,"(1, 2)",18,4,2
3,0.5939339297893361,0.02055105,8,"(1, 2)",18,4,6
4,0.6213685847252712,-0.003371009,8,"(1, 2)",18,8,2
7,0.6269763841015392,0.0015153566,8,"(1, 2)",18,8,6
4,0.6445269298049517,0.0023460777,8,"(1, 2)",18,12,2
6,0.6287177275020678,0.007490045,8,"(1, 2)",18,12,6
9,0.627532277090309,-0.01712232,8,"(1, 2)",18,16,2
7,0.6254717139190878,0.0030797594,8,"(1, 2)",18,16,6
3,0.6020064393165859,0.020821553,8,"(1, 2)",20,4,2
3,0.5576510956121004,0.021509511,8,"(1, 2)",20,4,6
4,0.6314706727364096,-0.0060834484,8,"(1, 2)",20,8,2
7,0.6262369313492014,0.0011402006,8,"(1, 2)",20,8,6
6,0.5846845712875651,-0.009793756,8,"(1, 2)",20,12,2
5,0.6125870910417606,0.008853009,8,"(1, 2)",20,12,6
4,0.6064572061778029,-0.0055201706,8,"(1, 2)",20,16,2
7,0.6699357660568702,-0.005004504,8,"(1, 2)",20,16,6
3,0.31937512387319356,0.018590618,9,"(1, 1)",10,4,2
3,0.2470912607256515,0.02581427,9,"(1, 1)",10,4,6
10,0.4895967395465872,-0.0036472967,9,"(1, 1)",10,8,2
7,0.4693037309585054,0.014758352,9,"(1, 1)",10,8,6
10,0.515923358092518,-0.0002697,9,"(1, 1)",10,12,2
7,0.4557821450075121,0.009391793,9,"(1, 1)",10,12,6
9,0.4795207211485676,0.00085392065,9,"(1, 1)",10,16,2
10,0.46913552245932244,0.00697655,9,"(1, 1)",10,16,6
5,0.4502418240591101,-0.0021187298,9,"(1, 1)",13,4,2
3,0.2470912607256515,0.02581427,9,"(1, 1)",13,4,6
6,0.47584517493892103,-0.0024713536,9,"(1, 1)",13,8,2
7,0.5073195651852355,0.012280423,9,"(1, 1)",13,8,6
9,0.5064676205527103,-0.005777004,9,"(1, 1)",13,12,2
7,0.42984313217944087,0.0013178382,9,"(1, 1)",13,12,6
3,0.41253980575225774,-0.0012038556,9,"(1, 1)",13,16,2
8,0.4656899350207002,-0.0005107684,9,"(1, 1)",13,16,6
3,0.3992117096083428,0.021037186,9,"(1, 1)",15,4,2
3,0.2470912607256515,0.02581427,9,"(1, 1)",15,4,6
8,0.48418129979753666,-0.0076856683,9,"(1, 1)",15,8,2
7,0.5022481282513207,0.009155374,9,"(1, 1)",15,8,6
9,0.5155835588376202,-0.0059529874,9,"(1, 1)",15,12,2
6,0.4661497584658007,0.00857806,9,"(1, 1)",15,12,6
3,0.40735756451823396,-0.0033666624,9,"(1, 1)",15,16,2
7,0.4244421153474841,-0.003709354,9,"(1, 1)",15,16,6
3,0.4065322431498252,0.022030437,9,"(1, 1)",18,4,2
3,0.40348162180668856,0.02055105,9,"(1, 1)",18,4,6
4,0.4761393414745529,-0.003371009,9,"(1, 1)",18,8,2
7,0.5033446285627104,0.0015153566,9,"(1, 1)",18,8,6
4,0.5349216897268161,0.0023460777,9,"(1, 1)",18,12,2
6,0.45799761771802316,0.007490045,9,"(1, 1)",18,12,6
9,0.47893916826322935,-0.01712232,9,"(1, 1)",18,16,2
7,0.48548339978207256,0.0030797594,9,"(1, 1)",18,16,6
3,0.3750502591473642,0.020821553,9,"(1, 1)",20,4,2
3,0.3796511720342734,0.021509511,9,"(1, 1)",20,4,6
4,0.4822148273881695,-0.0060834484,9,"(1, 1)",20,8,2
7,0.5123417786886255,0.0011402006,9,"(1, 1)",20,8,6
6,0.4322178283243501,-0.009793756,9,"(1, 1)",20,12,2
5,0.45288989837520555,0.008853009,9,"(1, 1)",20,12,6
4,0.42464445668364503,-0.0055201706,9,"(1, 1)",20,16,2
7,0.5118395284014662,-0.005004504,9,"(1, 1)",20,16,6
3,0.4019981660909,0.018590618,9,"(1, 2)",10,4,2
3,0.42010544064186045,0.02581427,9,"(1, 2)",10,4,6
10,0.6197489321516285,-0.0036472967,9,"(1, 2)",10,8,2
7,0.5894580772214281,0.014758352,9,"(1, 2)",10,8,6
10,0.6143445434039927,-0.0002697,9,"(1, 2)",10,12,2
7,0.5878770620685472,0.009391793,9,"(1, 2)",10,12,6
9,0.6175051490460566,0.00085392065,9,"(1, 2)",10,16,2
10,0.5907761667959066,0.00697655,9,"(1, 2)",10,16,6
5,0.5951677073738273,-0.0021187298,9,"(1, 2)",13,4,2
3,0.42010544064186045,0.02581427,9,"(1, 2)",13,4,6
6,0.6124458834027067,-0.0024713536,9,"(1, 2)",13,8,2
7,0.6145129990228962,0.012280423,9,"(1, 2)",13,8,6
9,0.6040033982171544,-0.005777004,9,"(1, 2)",13,12,2
7,0.5926610355314929,0.0013178382,9,"(1, 2)",13,12,6
3,0.6379454647240649,-0.0012038556,9,"(1, 2)",13,16,2
8,0.6037821502953321,-0.0005107684,9,"(1, 2)",13,16,6
3,0.5775801671399791,0.021037186,9,"(1, 2)",15,4,2
3,0.42010544064186045,0.02581427,9,"(1, 2)",15,4,6
8,0.6212051413088144,-0.0076856683,9,"(1, 2)",15,8,2
7,0.6288151916661142,0.009155374,9,"(1, 2)",15,8,6
9,0.6437705821686651,-0.0059529874,9,"(1, 2)",15,12,2
6,0.6306983397261864,0.00857806,9,"(1, 2)",15,12,6
3,0.6359051788130633,-0.0033666624,9,"(1, 2)",15,16,2
7,0.5865773690619677,-0.003709354,9,"(1, 2)",15,16,6
3,0.585379598863017,0.022030437,9,"(1, 2)",18,4,2
3,0.5939339297893361,0.02055105,9,"(1, 2)",18,4,6
4,0.6213685847252712,-0.003371009,9,"(1, 2)",18,8,2
7,0.6269763841015392,0.0015153566,9,"(1, 2)",18,8,6
4,0.6445269298049517,0.0023460777,9,"(1, 2)",18,12,2
6,0.6287177275020678,0.007490045,9,"(1, 2)",18,12,6
9,0.627532277090309,-0.01712232,9,"(1, 2)",18,16,2
7,0.6254717139190878,0.0030797594,9,"(1, 2)",18,16,6
3,0.6020064393165859,0.020821553,9,"(1, 2)",20,4,2
3,0.5576510956121004,0.021509511,9,"(1, 2)",20,4,6
4,0.6314706727364096,-0.0060834484,9,"(1, 2)",20,8,2
7,0.6262369313492014,0.0011402006,9,"(1, 2)",20,8,6
6,0.5846845712875651,-0.009793756,9,"(1, 2)",20,12,2
5,0.6125870910417606,0.008853009,9,"(1, 2)",20,12,6
4,0.6064572061778029,-0.0055201706,9,"(1, 2)",20,16,2
7,0.6699357660568702,-0.005004504,9,"(1, 2)",20,16,6
